Role_ID,Industry,Human_Labor_Cost_hr,Tokens_per_Human_Hour,Inference_Cost_2026,Agent_Labor_Equivalent_Cost,Substitution_Elasticity,AI_Augmentation_Factor,Automation_Risk_Index,Hardware_CapEx_Sensitivity,Regulatory_Moat,Substitution_Year_Est
MFG-016,Manufacturing,70.0,174391.0,0.2143,0.0374,0.73,0.83,100,0.42,High,2030
FIN-022,Finance,108.0,215826.0,0.2777,0.0599,0.88,0.9,100,0.46,High,2031
GOV-002,Government,66.0,149188.0,0.0328,0.0049,1.29,0.78,100,0.39,High,2031
FIN-028,Finance,85.0,149092.0,0.7638,0.1139,0.64,0.96,74,0.33,High,2030
MLO-019,MLOps,72.0,87859.0,0.2365,0.0208,0.99,0.83,100,0.21,Low,2027
HLT-064,Healthcare,75.0,180954.0,0.1031,0.0187,0.97,1.0,100,0.06,High,2033
LEG-023,Legal,163.0,444856.0,0.3585,0.1595,0.84,0.75,100,0.46,High,2029
CON-049,Consulting,72.0,133151.0,0.5933,0.079,0.82,0.98,100,0.01,Med,2028
CON-071,Consulting,75.0,128758.0,0.3494,0.045,1.03,0.56,100,0.25,Low,2027
CON-047,Consulting,107.0,242849.0,0.6057,0.1471,0.87,0.72,85,0.36,Low,2027
FIN-006,Finance,83.0,142865.0,0.7399,0.1057,0.87,0.78,98,0.33,Med,2029
EDU-062,Education,60.0,163519.0,0.1075,0.0176,1.05,0.93,100,0.3,High,2032
INS-024,Insurance,84.0,180131.0,0.3923,0.0707,0.8,0.52,100,0.43,Low,2027
MLO-070,MLOps,80.0,122653.0,0.3064,0.0376,1.1,0.83,100,0.2,Med,2029
RET-047,Retail,50.0,85889.0,0.2839,0.0244,0.82,0.72,100,0.46,High,2030
,,,,0.3394,0.0508,0.68,0.85,100,0.27,High,2029
MFG-050,Manufacturing,62.0,156237.0,0.1181,0.0185,0.81,0.64,100,0.44,Med,2030
EDU-030,Education,54.0,117600.0,0.3361,0.0395,0.72,0.5,100,0.35,Low,2028
LEG-080,Legal,62.0,123155.0,0.1252,0.0154,1.11,1.0,100,0.14,High,2032
ENR-022,Energy,74.0,160049.0,0.6464,0.1035,0.61,0.41,98,0.51,Low,2026
LEG-053,Legal,162.0,345858.0,0.4599,0.1591,0.96,0.62,100,0.52,High,2032
FIN-060,Finance,72.0,144048.0,0.2203,0.0317,0.86,1.0,100,0.25,High,2031
ENR-050,Energy,58.0,86998.0,0.751,0.0653,0.87,0.51,100,0.26,Low,2029
EDU-074,Education,28.0,69338.0,0.237,0.0164,1.14,0.93,100,0.2,Med,2030
MFG-059,Manufacturing,64.0,116722.0,0.3618,0.0422,1.0,0.63,100,0.33,Med,2029
INS-036,Insurance,88.0,189265.0,0.091,0.0172,1.18,0.96,100,0.29,High,2029
INS-052,Insurance,37.0,61367.0,0.0765,0.0047,1.14,0.77,100,0.14,Med,2028
LEG-009,Legal,119.0,268270.0,0.5111,0.1371,0.77,0.89,91,0.38,High,2032
TEL-028,Telecom,70.0,164689.0,0.0985,0.0162,0.76,0.64,100,0.4,Low,2027
CRE-075,Creative,53.0,268283.0,0.6581,0.1766,0.57,0.61,11,0.25,Low,2028
HLT-022,Healthcare,136.0,250012.0,0.7774,0.1944,0.78,0.8,76,0.19,High,2030
CON-066,Consulting,111.0,222721.0,0.4071,0.0907,1.02,0.69,100,0.31,Med,2029
TEL-020,Telecom,108.0,253428.0,0.7901,0.2002,0.75,0.91,60,0.48,High,2031
EDU-046,Education,54.0,181112.0,0.3943,0.0714,0.82,0.54,99,0.35,Med,2029
FIN-031,Finance,79.0,148505.0,0.5004,0.0743,0.95,1.0,100,0.04,High,2030
FIN-046,Finance,111.0,217325.0,0.6289,0.1367,0.74,0.9,87,0.41,High,2032
CRE-048,Creative,111.0,379248.0,0.3712,0.1408,0.71,0.78,90,0.36,High,2029
CRE-062,Creative,88.0,366580.0,0.4975,0.1824,0.59,0.46,51,0.35,Med,2027
CRE-024,Creative,67.0,319971.0,0.1433,0.0459,0.91,0.94,100,0.36,Low,2026
RET-006,Retail,39.0,46371.0,0.0375,0.0017,0.93,0.55,100,0.14,Low,2027
ENR-024,Energy,69.0,168673.0,0.4683,0.079,0.88,0.96,100,0.13,High,2031
LOG-028,Logistics,30.0,45224.0,0.047,0.0021,0.89,0.71,100,0.26,Low,2027
CON-034,Consulting,230.0,455958.0,0.3113,0.1419,0.73,0.33,100,0.58,Low,2028
FIN-058,Finance,59.0,80340.0,0.2677,0.0215,1.05,1.0,100,0.08,High,2032
LEG-032,Legal,69.0,102489.0,0.649,0.0665,0.68,0.98,100,0.08,High,2031
RET-058,Retail,55.0,104484.0,0.5759,0.0602,0.74,0.79,100,0.27,High,2029
LEG-056,Legal,150.0,324690.0,0.4462,0.1449,1.19,0.68,100,0.52,High,2029
CRE-016,Creative,92.0,478298.0,0.383,0.1832,0.83,0.87,44,0.45,High,2031
TEL-023,Telecom,84.0,154256.0,0.2702,0.0417,0.71,0.59,100,0.26,Low,2027
FIN-003,Finance,58.0,83259.0,0.4215,0.0351,0.89,0.59,100,0.27,Low,2028
LEG-040,Legal,138.0,317605.0,0.6941,0.2204,0.62,0.76,72,0.19,Med,2028
HLT-031,Healthcare,224.0,418401.0,0.1349,0.0564,0.74,0.53,100,0.42,High,2032
RET-080,Retail,64.0,154927.0,0.2055,0.0318,0.71,0.31,100,0.77,Low,2026
TEL-018,Telecom,70.0,168873.0,0.3068,0.0518,0.62,0.92,100,0.24,High,2030
RET-059,Retail,47.0,63199.0,0.3003,0.019,1.09,0.46,100,0.34,Low,2026
TEL-047,Telecom,42.0,82800.0,0.2966,0.0246,0.75,0.8,100,0.24,Med,2028
unknown ,Legal,140.0,304375.0,0.7049,0.2146,0.61,0.57,73,0.43,Low,2027
LEG-001,Legal,187.0,346298.0,0.1001,0.0347,0.99,0.76,100,0.27,High,2031
GOV-072,Government,64.0,147216.0,0.1966,0.0289,0.59,0.69,100,0.33,Low,2028
TEL-040,Telecom,54.0,107209.0,0.0314,0.0034,0.86,0.63,100,0.33,Med,2029
MLO-040,MLOps,106.0,156789.0,0.1838,0.0288,1.23,0.6,100,0.35,Low,2026
,,,,0.5252,0.0619,0.83,0.67,100,0.43,Med,2027
MFG-065,Manufacturing,34.0,63288.0,0.6121,0.0387,1.04,0.61,100,0.22,Low,2028
EDU-013,Education,46.0,108062.0,0.2822,0.0305,0.89,0.56,100,0.28,Low,2028
ENR-037,Energy,106.0,216621.0,0.036,0.0078,0.84,0.76,100,0.29,High,2032
LOG-003,Logistics,60.0,146316.0,0.5927,0.0867,0.6,0.43,100,0.45,Low,2028
EDU-080,Education,35.0,61722.0,0.2505,0.0155,1.14,0.5,100,0.19,Low,2029
MFG-080,Manufacturing,47.0,111570.0,0.0621,0.0069,1.01,0.55,100,0.37,Med,2027
LEG-055,Legal,182.0,391863.0,0.7331,0.2873,0.81,0.88,72,0.46,High,2031
MLO-074,MLOps,110.0,190133.0,0.3171,0.0603,1.06,0.55,100,0.58,Low,2027
LOG-020,Logistics,44.0,73375.0,0.0406,0.003,1.39,0.72,100,0.28,Med,2028
MFG-037,Manufacturing,54.0,94796.0,0.0383,0.0036,1.26,0.37,100,0.28,Low,2027
TEL-057,Telecom,36.0,56494.0,0.3425,0.0193,0.86,0.78,100,0.24,Med,2029
FIN-078,Finance,67.0,154258.0,0.332,0.0512,0.87,1.0,100,0.19,High,2032
RET-025,Retail,62.0,146386.0,0.0791,0.0116,0.93,0.33,100,0.75,Low,2027
EDU-026,Education,55.0,156582.0,0.2554,0.04,0.87,0.71,100,0.18,Med,2030
CRE-051,Creative,68.0,248468.0,0.3139,0.078,0.72,0.65,100,0.39,Med,2029
GOV-075,Government,59.0,121861.0,0.0767,0.0093,0.96,1.0,100,0.23,High,2033
ENR-012,Energy,98.0,205486.0,0.5835,0.1199,0.69,0.72,100,0.27,Med,2027
RET-008,Retail,30.0,46984.0,0.0902,0.0042,0.76,0.73,100,0.16,Med,2028
EDU-076,Education,81.0,262148.0,0.1519,0.0398,1.07,0.45,100,0.69,Med,2028
GOV-070,Government,46.0,95314.0,0.0672,0.0064,1.04,0.99,100,0.17,High,2032
CON-067,Consulting,88.0,150151.0,0.0995,0.0149,0.85,0.82,100,0.21,Med,2027
MFG-033,Manufacturing,56.0,132106.0,0.0629,0.0083,1.17,0.62,100,0.4,Med,2028
EDU-038,Education,32.0,64155.0,0.5513,0.0354,1.07,0.78,100,0.2,Med,2028
MLO-064,MLOps,115.0,233578.0,0.0551,0.0129,0.76,0.63,100,0.52,Med,2027
HLT-040,Healthcare,100.0,193781.0,0.3399,0.0659,0.66,1.0,100,0.09,High,2031
EDU-043,Education,62.0,159126.0,0.7786,0.1239,0.88,0.65,70,0.45,Med,2027
MLO-010,MLOps,78.0,85061.0,0.6377,0.0542,0.72,0.54,100,0.42,Low,2028
LEG-052,Legal,103.0,240001.0,0.297,0.0713,0.77,0.89,100,0.36,High,2031
REL-049,Real Estate,87.0,141115.0,0.1196,0.0169,1.04,0.84,100,0.42,High,2029
CRE-033,Creative,128.0,616634.0,0.3353,0.2068,0.58,0.39,91,0.57,Low,2027
,,,,0.3497,0.0682,1.08,0.59,100,0.3,Low,2027
REL-080,Real Estate,41.0,65368.0,0.3115,0.0204,0.76,1.0,100,0.06,High,2032
ENR-016,Energy,103.0,236434.0,0.1752,0.0414,1.01,0.73,100,0.39,Med,2029
INS-053,Insurance,84.0,129917.0,0.2892,0.0376,1.01,0.96,100,0.27,High,2030
INS-055,Insurance,86.0,173665.0,0.3184,0.0553,1.03,0.69,100,0.41,Med,2029
,,,,0.3156,0.0834,0.96,0.42,100,0.58,Low,2027
ENR-060,Energy,69.0,89566.0,0.272,0.0244,1.12,0.9,100,0.27,Med,2029
EDU-032,Education,61.0,192630.0,0.0444,0.0086,0.76,0.96,100,0.37,High,2031
LEG-069,Legal,103.0,220820.0,0.2889,0.0638,0.88,1.0,100,0.18,High,2032
MLO-008,MLOps,118.0,254060.0,0.2883,0.0732,0.78,0.95,100,0.45,High,2031
REL-055,Real Estate,91.0,188347.0,0.2968,0.0559,0.78,0.54,100,0.51,Low,2027
INS-058,Insurance,82.0,181270.0,0.1017,0.0184,1.15,0.64,100,0.4,Med,2030
RET-031,Retail,41.0,68396.0,0.0811,0.0055,1.18,0.88,100,0.29,High,2030
MFG-006,Manufacturing,34.0,64124.0,0.2775,0.0178,0.7,0.59,100,0.17,Med,2029
ENR-072,Energy,78.0,150243.0,0.1354,0.0203,0.86,0.99,100,0.26,High,2030
EDU-056,Education,74.0,212225.0,0.1066,0.0226,1.03,0.72,100,0.39,High,2032
EDU-042,Education,37.0,103976.0,0.1978,0.0206,1.12,0.7,100,0.24,Med,2027
RET-013,Retail,73.0,162307.0,0.0747,0.0121,1.04,0.13,100,0.65,Low,2026
TEL-003,Telecom,68.0,126872.0,0.4054,0.0514,1.07,0.63,100,0.17,Low,2028
REL-006,Real Estate,92.0,139735.0,0.2637,0.0368,0.99,0.74,100,0.3,High,2029
EDU-010,Education,64.0,226858.0,0.128,0.029,0.96,0.45,100,0.62,Low,2026
FIN-063,Finance,77.0,183880.0,0.4251,0.0782,0.66,0.64,100,0.29,Low,2027
RET-069,Retail,42.0,76287.0,0.0977,0.0075,0.89,0.64,100,0.29,Med,2027
CON-011,Consulting,157.0,255415.0,0.6508,0.1662,0.78,0.5,100,0.5,Low,2029
ENR-034,Energy,84.0,170220.0,0.5281,0.0899,0.56,0.72,100,0.43,Med,2028
TEL-055,Telecom,76.0,156499.0,0.166,0.026,0.79,0.8,100,0.27,Low,2026
UNKNOWN,Logistics,45.0,87391.0,0.1021,0.0089,1.16,0.46,100,0.31,Low,2026
REL-041,Real Estate,40.0,41159.0,0.3516,0.0145,1.16,0.79,100,0.04,Med,2028
MLO-017,MLOps,102.0,117301.0,0.1519,0.0178,0.86,0.74,100,0.34,Med,2029
ENR-029,Energy,106.0,233760.0,0.7977,0.1865,0.96,0.61,77,0.52,Low,2026
GOV-059,Government,41.0,94538.0,0.3406,0.0322,0.62,1.0,100,0.26,High,2031
REL-004,Real Estate,136.0,237192.0,0.3235,0.0767,1.01,0.55,100,0.55,Med,2029
MFG-027,Manufacturing,34.0,59975.0,0.2359,0.0141,0.95,0.61,100,0.31,Low,2028
ENR-074,Energy,65.0,132302.0,0.1944,0.0257,0.97,1.0,100,0.12,High,2033
LOG-056,Logistics,76.0,123005.0,0.2592,0.0319,0.91,0.39,100,0.48,Low,2028
HLT-072,Healthcare,87.0,233306.0,0.3255,0.0759,0.76,0.74,100,0.3,Med,2027
MLO-021,MLOps,89.0,138413.0,0.2144,0.0297,1.1,0.75,100,0.32,Med,2028
MFG-072,Manufacturing,47.0,94290.0,0.139,0.0131,0.8,0.74,100,0.23,Med,2028
ENR-045,Energy,71.0,123518.0,0.0775,0.0096,0.97,1.0,100,0.02,High,2033
MLO-007,MLOps,69.0,76439.0,0.378,0.0289,0.91,0.71,100,0.07,Low,2028
LOG-040,Logistics,100.0,238404.0,0.0672,0.016,0.83,0.4,100,0.54,Low,2028
LOG-018,Logistics,49.0,94326.0,0.0598,0.0056,1.0,1.0,100,0.25,High,2031
TEL-072,Telecom,58.0,119484.0,0.2377,0.0284,0.91,0.93,100,0.23,High,2029
LEG-019,Legal,122.0,265910.0,0.6471,0.1721,0.63,0.93,63,0.36,High,2031
ENR-076,Energy,80.0,168346.0,0.4,0.0673,0.72,0.72,100,0.28,High,2032
EDU-060,Education,47.0,96805.0,0.5468,0.0529,1.03,0.95,100,0.18,High,2032
GOV-069,Government,67.0,154360.0,0.4929,0.0761,0.75,0.95,100,0.35,High,2030
HLT-069,Healthcare,174.0,392314.0,0.5957,0.2337,0.82,0.5,100,0.47,Med,2029
,,,,0.0743,0.0045,0.96,0.71,100,0.26,Med,2028
GOV-011,Government,54.0,113887.0,0.2917,0.0332,0.89,0.66,100,0.16,Med,2027
HLT-052,Healthcare,143.0,221578.0,0.5621,0.1245,1.13,0.76,100,0.26,Med,2029
MLO-016,MLOps,107.0,107096.0,0.7217,0.0773,0.86,0.46,100,0.44,Low,2028
REL-025,Real Estate,66.0,95197.0,0.2659,0.0253,1.0,0.77,100,0.18,Med,2030
MFG-063,Manufacturing,31.0,45686.0,0.3033,0.0139,1.25,0.64,100,0.13,Low,2027
CRE-002,Creative,41.0,227585.0,0.2621,0.0597,1.09,0.67,88,0.36,Low,2028
MLO-028,MLOps,91.0,112265.0,0.3078,0.0346,0.78,0.75,100,0.34,Med,2029
MLO-032,MLOps,63.0,80619.0,0.5445,0.0439,1.01,0.63,100,0.23,Low,2026
RET-040,Retail,29.0,45974.0,0.1042,0.0048,0.56,0.61,100,0.36,Med,2029
MFG-064,Manufacturing,40.0,78419.0,0.3477,0.0273,0.85,0.96,100,0.13,High,2031
HLT-021,Healthcare,200.0,430009.0,0.2999,0.129,0.9,0.57,100,0.37,Med,2029
GOV-003,Government,63.0,132829.0,0.4144,0.055,0.53,0.54,100,0.34,Low,2027
MFG-001,Manufacturing,33.0,63860.0,0.033,0.0021,0.91,1.0,100,0.06,High,2031
MLO-041,MLOps,71.0,85662.0,0.1863,0.016,1.03,0.97,100,0.13,High,2031
INS-010,Insurance,62.0,123279.0,0.192,0.0237,0.91,0.77,100,0.3,Low,2027
HLT-068,Healthcare,136.0,308473.0,0.6121,0.1888,1.04,0.78,88,0.17,Med,2028
ENR-069,Energy,108.0,273045.0,0.2295,0.0627,0.96,0.71,100,0.4,Med,2027
LOG-073,Logistics,59.0,121588.0,0.0585,0.0071,1.09,0.61,100,0.35,Med,2030
RET-032,Retail,41.0,94831.0,0.0306,0.0029,1.12,0.73,100,0.22,Med,2028
HLT-041,Healthcare,173.0,388638.0,0.5846,0.2272,0.56,0.8,77,0.44,High,2032
EDU-051,Education,68.0,205533.0,0.2188,0.045,0.98,0.57,100,0.46,Low,2026
FIN-065,Finance,54.0,95358.0,0.6152,0.0587,0.95,1.0,99,0.05,High,2030
LOG-032,Logistics,31.0,54269.0,0.1334,0.0072,0.91,0.74,100,0.16,Low,2026
LEG-071,Legal,147.0,242781.0,0.3651,0.0886,0.87,0.71,100,0.33,Med,2029
CON-014,Consulting,100.0,193983.0,0.3992,0.0774,0.95,0.55,100,0.39,Low,2028
REL-032,Real Estate,120.0,203020.0,0.0789,0.016,1.03,0.56,100,0.47,Med,2029
MFG-062,Manufacturing,34.0,57903.0,0.2152,0.0125,0.58,0.83,100,0.17,High,2031
CRE-022,Creative,59.0,270475.0,0.2252,0.0609,0.84,0.76,100,0.39,Low,2029
REL-059,Real Estate,46.0,38711.0,0.5754,0.0223,0.71,0.75,100,0.22,Med,2029
LEG-041,Legal,93.0,149534.0,0.4403,0.0658,0.83,0.98,100,0.23,High,2029
HLT-037,Healthcare,107.0,211323.0,0.3858,0.0815,0.9,0.99,100,0.17,High,2030
REL-008,Real Estate,129.0,204465.0,0.0769,0.0157,0.91,0.53,100,0.43,Med,2027
ENR-051,Energy,92.0,224388.0,0.2327,0.0522,0.81,0.92,100,0.29,High,2029
ENR-065,Energy,74.0,137530.0,0.5386,0.0741,0.72,0.82,100,0.22,High,2029
LOG-054,Logistics,25.0,32972.0,-999.0,-999.0,1.03,0.71,100,0.17,Med,2029
CRE-005,Creative,11650.0,30934250.0,0.1271,0.0206,1.1,0.81,100,0.06,Med,2030
TEL-078,Telecom,42.0,82049.0,0.1063,0.0087,1.21,0.7,100,0.31,Low,2026
RET-003,Retail,26.0,45611.0,0.5301,0.0242,0.77,0.65,100,0.09,Low,2027
LEG-012,Legal,77.0,143885.0,0.3467,0.0499,0.8,1.0,100,0.21,High,2031
REL-045,Real Estate,95.0,144733.0,0.2186,0.0316,1.02,0.46,100,0.52,Low,2026
EDU-050,Education,28.0,62662.0,0.4729,0.0296,0.87,0.72,100,0.26,Med,2028
UNKNOWN,123abc,40.0,63078.0,0.0897,0.0057,0.95,0.89,100,0.31,Med,2028
GOV-039,Government,46.0,109254.0,0.1152,0.0126,0.84,0.99,100,0.12,High,2030
UNKNOWN,Energy,44.0,73491.0,0.4605,0.0338,0.74,1.0,100,0.05,High,2031
REL-023,Real Estate,115.0,199808.0,0.2341,0.0468,0.88,0.75,100,0.49,Med,2028
EDU-056,Education,74.0,212225.0,0.1066,0.0226,1.03,0.72,100,0.39,High,2032
EDU-072,Education,31.0,71394.0,0.7491,0.0535,0.73,0.81,73,0.11,Med,2027
CRE-018,Creative,75.0,323562.0,0.5801,0.1877,1.04,0.6,47,0.51,Low,2026
MFG-023,Manufacturing,11650.0,30934250.0,0.0603,0.0096,0.89,0.47,100,0.59,Low,2026
TEL-033,Telecom,79.0,161413.0,0.3715,0.06,1.11,0.92,100,0.38,High,2031
MFG-061,Manufacturing,44.0,68202.0,0.274,0.0187,0.94,0.92,100,0.14,High,2030
FIN-030,Finance,59.0,96965.0,0.7511,0.0728,0.71,0.75,100,0.19,Low,2027
MLO-056,MLOps,95.0,140858.0,0.4767,0.0671,0.83,0.87,100,0.28,Med,2027
INS-044,Insurance,38.0,81236.0,0.3187,0.0259,1.05,0.93,100,0.03,Med,2029
REL-038,Real Estate,56.0,58742.0,0.4095,0.0241,0.97,1.0,100,0.07,High,2032
ENR-063,Energy,92.0,170767.0,0.7493,0.128,0.87,0.8,91,0.39,Med,2029
TEL-046,Telecom,73.0,113015.0,0.1683,0.019,0.67,0.62,100,0.25,Low,2028
FIN-041,Finance,140.0,217049.0,0.3379,0.0733,0.88,0.66,100,0.47,Med,2028
FIN-017,Finance,139.0,247194.0,0.4293,0.1061,1.07,0.59,100,0.52,Med,2028
REL-067,Real Estate,42.0,56010.0,0.3063,0.0172,0.93,1.0,100,0.1,High,2033
INS-048,Insurance,56.0,96588.0,0.2679,0.0259,0.86,0.89,100,0.2,Med,2029
MLO-050,MLOps,81.0,109577.0,0.229,0.0251,0.66,0.54,100,0.31,Low,2028
LOG-014,Logistics,29.0,41227.0,0.5805,0.0239,0.82,0.73,100,0.25,Low,2029
INS-074,Insurance,51.0,96599.0,0.6885,0.0665,0.59,1.0,96,0.1,High,2032
ENR-064,Energy,56.0,119273.0,0.2335,0.0279,1.12,0.85,100,0.01,Med,2029
MFG-015,Manufacturing,50.0,105039.0,0.1826,0.0192,1.23,0.9,100,0.13,High,2030
ENR-057,Energy,55.0,73787.0,0.6196,0.0457,0.75,0.84,100,0.11,Med,2028
,,,,0.4584,0.1319,0.89,0.83,39,0.35,Med,2027
FIN-061,Finance,72.0,115149.0,0.2146,0.0247,1.13,0.64,100,0.19,Low,2027
TEL-045,Telecom,40.0,69979.0,0.2854,0.02,0.77,0.82,100,0.18,Med,2028
LOG-036,Logistics,40.0,50044.0,0.077,0.0039,1.11,0.69,100,0.14,Med,2029
TEL-065,Telecom,117.0,281611.0,0.6091,0.1715,0.97,0.39,98,0.54,Low,2027
MLO-018,MLOps,66.0,75218.0,0.7511,0.0565,1.02,0.67,100,0.16,Low,2027
MFG-025,Manufacturing,39.0,87618.0,0.074,0.0065,1.35,0.67,100,0.28,Low,2026
FIN-011,Finance,105.0,261513.0,0.1533,0.0401,1.04,0.66,100,0.47,Med,2029
LOG-009,Logistics,82.0,164819.0,0.0701,0.0116,1.04,0.65,100,0.51,Med,2029
CON-022,Consulting,97.0,164079.0,0.611,0.1003,0.71,0.61,100,0.24,Low,2029
FIN-066,Finance,66.0,113692.0,0.269,0.0306,0.86,1.0,100,0.16,High,2033
LOG-058,Logistics,61.0,86556.0,0.0479,0.0041,1.26,0.43,100,0.3,Low,2027
LOG-062,Logistics,27.0,43803.0,0.0652,0.0029,1.19,0.81,100,0.07,Med,2028
GOV-040,Government,68.0,211094.0,0.1191,0.0251,1.04,0.84,100,0.35,High,2031
CON-056,Consulting,106.0,221052.0,0.6552,0.1448,0.88,0.74,89,0.4,Low,2028
LEG-060,Legal,76.0,174820.0,0.0742,0.013,1.16,0.72,100,0.38,Med,2030
EDU-049,Education,55.0,135120.0,0.2706,0.0366,0.62,0.65,100,0.23,Med,2028
RET-042,Retail,48.0,83579.0,0.0373,0.0031,1.17,0.46,100,0.42,Low,2028
GOV-056,Government,72.0,154470.0,0.34,0.0525,0.92,0.79,100,0.24,High,2031
TEL-029,Telecom,74.0,112352.0,0.117,0.0131,1.25,0.47,100,0.39,Med,2028
HLT-009,Healthcare,98.0,236139.0,0.4113,0.0971,0.66,0.99,100,0.23,High,2031
HLT-067,Healthcare,127.0,278204.0,0.2171,0.0604,0.97,0.87,100,0.14,High,2031
LEG-038,Legal,112.0,224742.0,0.3252,0.0731,1.06,0.89,100,0.06,High,2030
GOV-006,Government,55.0,129779.0,0.1521,0.0197,1.0,0.9,100,0.24,High,2030
HLT-034,Healthcare,69.0,164715.0,0.7011,0.1155,0.79,1.0,51,0.15,High,2030
LOG-002,Logistics,34.0,42202.0,0.3387,0.0143,1.03,0.69,100,0.36,Low,2027
MFG-020,Manufacturing,53.0,102458.0,0.0372,0.0038,1.13,0.55,100,0.36,Low,2028
,,,,0.6059,0.2671,0.92,0.12,81,0.69,Low,2028
TEL-011,Telecom,52.0,104594.0,0.3563,0.0373,1.08,0.8,100,0.17,Med,2028
REL-001,Real Estate,71.0,104908.0,0.3829,0.0402,0.87,0.85,100,0.19,High,2031
FIN-040,Finance,108.0,168186.0,0.7868,0.1323,0.85,0.95,83,0.26,High,2032
GOV-013,Government,36.0,79019.0,0.2941,0.0232,0.96,0.78,100,0.14,Med,2027
EDU-019,Education,28.0,66026.0,0.105,0.0069,0.94,0.75,100,0.33,Med,2028
RET-035,Retail,35.0,53468.0,0.0834,0.0045,1.21,0.97,100,0.23,High,2030
CRE-031,Creative,52.0,296978.0,0.3552,0.1055,0.91,0.53,49,0.22,Low,2028
