Role_ID,Industry,Human_Labor_Cost_hr,Tokens_per_Human_Hour,Inference_Cost_2026,Agent_Labor_Equivalent_Cost,Substitution_Elasticity,AI_Augmentation_Factor,Automation_Risk_Index,Hardware_CapEx_Sensitivity,Regulatory_Moat,Substitution_Year_Est
LEG-029,Legal,155.0,322571.0,0.2127,0.0686,0.85,0.76,100,0.51,High,2030
CON-043,Consulting,105.0,128464.0,0.762,0.0979,0.91,0.59,100,0.31,Low,2026
,,,,0.2916,0.007,0.83,0.7,100,0.14,Low,2029
EDU-047,Education,40.0,90441.0,0.1265,0.0114,0.81,0.96,100,0.07,High,2029
GOV-047,Government,37.0,57105.0,0.1,0.0057,0.78,0.98,100,0.19,High,2031
CON-080,Consulting,93.0,161306.0,0.1731,0.0279,0.96,0.55,100,0.3,Low,2028
LOG-065,Logistics,76.0,151256.0,0.1138,0.0172,1.1,0.4,100,0.51,Low,2026
LEG-064,Legal,165.0,410486.0,0.4477,0.1838,0.86,0.88,100,0.36,High,2029
REL-057,Real Estate,72.0,127713.0,0.5211,0.0666,0.96,0.64,100,0.34,Med,2028
LOG-022,Logistics,60.0,158960.0,0.1209,0.0192,1.03,0.62,100,0.45,Med,2028
LEG-051,Legal,178.0,364420.0,0.2729,0.0995,0.6,0.51,100,0.58,Med,2027
FIN-035,Finance,138.0,289461.0,0.0823,0.0238,0.99,0.94,100,0.36,High,2030
CON-010,Consulting,177.0,317650.0,0.1312,0.0417,1.2,0.53,100,0.53,Med,2028
RET-022,Retail,37.0,77849.0,0.1853,0.0144,0.84,0.51,100,0.32,Low,2028
GOV-025,Government,58.0,150118.0,0.1039,0.0156,1.07,0.9,100,0.26,High,2030
REL-009,Real Estate,105.0,133936.0,0.0933,0.0125,1.23,0.75,100,0.42,High,2031
CRE-013,Creative,96.0,435108.0,0.1609,0.07,0.67,0.5,100,0.39,Low,2027
RET-077,Retail,25.0,43680.0,0.053,0.0023,1.02,0.63,100,0.32,Low,2027
MLO-009,MLOps,88.0,138722.0,0.3137,0.0435,0.85,0.59,100,0.28,Low,2027
,,,,0.3089,0.0323,0.89,0.56,100,0.3,Med,2028
REL-032,Real Estate,120.0,203020.0,0.0789,0.016,1.03,0.56,100,0.47,Med,2029
UNKNOWN,Manufacturing,50.0,107296.0,0.049,0.0053,0.81,0.63,100,0.3,Low,2027
HLT-006,Healthcare,167.0,198817.0,0.7074,0.1406,0.99,0.87,100,0.12,High,2031
RET-015,Retail,31.0,63065.0,0.201,0.0127,1.16,0.69,100,0.19,Low,2028
ENR-049,Energy,158.0,422237.0,0.4464,0.1885,0.97,0.2,100,0.86,Low,2027
EDU-023,Education,50.0,120482.0,0.1103,0.0133,1.17,0.59,100,0.28,Med,2029
INS-033,Insurance,47.0,95887.0,0.2456,0.0235,1.12,1.0,100,0.01,High,2033
HLT-028,Healthcare,167.0,359230.0,0.3379,0.1214,0.82,0.84,100,0.41,High,2030
TEL-005,Telecom,55.0,108348.0,0.3036,0.0329,0.62,0.67,100,0.29,Med,2029
REL-002,Real Estate,48.0,69234.0,0.6782,0.047,0.67,0.97,100,0.08,Med,2028
FIN-073,Finance,124.0,188300.0,0.4032,0.0759,0.41,0.73,100,0.36,High,2031
TEL-063,Telecom,53.0,114381.0,0.2561,0.0293,0.77,0.62,100,0.16,Med,2030
LOG-050,Logistics,49.0,85626.0,0.2044,0.0175,1.03,0.51,100,0.24,Low,2028
CRE-073,Creative,50.0,234853.0,0.3101,0.0728,0.79,0.64,93,0.24,Low,2027
HLT-005,Healthcare,121.0,257722.0,0.1324,0.0341,0.79,0.82,100,0.23,High,2030
CRE-055,Creative,114.0,442125.0,0.2537,0.1122,0.86,0.57,100,0.47,Low,2028
RET-002,Retail,55.0,77077.0,0.2873,0.0221,1.0,0.96,100,0.18,High,2032
HLT-030,Healthcare,125.0,238006.0,0.1094,0.026,0.96,0.79,100,0.19,Med,2028
REL-014,Real Estate,56.0,71151.0,0.1461,0.0104,0.79,0.64,100,0.24,Med,2028
CRE-007,Creative,112.0,456553.0,0.5407,0.2469,0.77,0.4,68,0.61,Low,2026
,,,,0.3195,0.0773,1.11,0.69,98,0.31,Low,2028
LOG-026,Logistics,52.0,73493.0,0.1582,0.0116,1.1,0.71,100,0.32,Med,2030
CRE-015,Creative,107.0,540386.0,0.3805,0.2056,0.74,0.93,60,0.49,High,2029
REL-078,Real Estate,71.0,135464.0,0.1317,0.0178,0.9,0.73,100,0.33,Med,2027
INS-034,Insurance,53.0,102701.0,0.1003,0.0103,0.78,1.0,100,0.08,High,2031
CRE-065,Creative,100.0,482640.0,0.1772,0.0855,1.05,0.48,100,0.43,Low,2026
CRE-057,Creative,72.0,282691.0,0.437,0.1235,0.86,0.52,80,0.46,Low,2029
REL-047,Real Estate,48.0,82785.0,0.344,0.0285,0.97,0.97,100,0.22,High,2030
TEL-010,Telecom,85.0,205381.0,0.3322,0.0682,0.79,0.82,100,0.52,High,2031
LOG-006,Logistics,62.0,119294.0,0.0984,0.0117,1.02,0.66,100,0.25,Low,2027
GOV-063,Government,49.0,104198.0,0.1113,0.0116,1.11,0.85,100,0.2,High,2029
LOG-027,Logistics,78.0,100356.0,0.066,0.0066,0.98,0.33,100,0.38,Med,2029
,,,,0.2273,0.0153,0.88,1.0,100,0.13,High,2031
,,,,0.1726,0.0595,0.96,0.49,100,0.45,Low,2026
CON-017,Consulting,114.0,200095.0,0.297,0.0594,0.9,0.42,100,0.31,Low,2028
GOV-009,Government,83.0,160835.0,0.0946,0.0152,0.69,0.2,100,0.52,Low,2026
ENR-007,Energy,56.0,104415.0,0.3606,0.0377,0.82,0.95,100,0.24,High,2031
HLT-042,Healthcare,185.0,323871.0,0.6536,0.2117,0.9,0.44,100,0.31,Low,2028
MLO-065,MLOps,127.0,227492.0,0.2427,0.0552,1.02,0.48,100,0.43,Low,2026
HLT-065,Healthcare,121.0,228014.0,0.724,0.1651,0.72,0.8,93,0.25,High,2030
LEG-049,Legal,114.0,270385.0,0.7408,0.2003,1.07,0.91,64,0.24,High,2030
LEG-037,Legal,90.0,193622.0,0.3307,0.064,0.88,0.97,100,0.2,Med,2028
CRE-053,Creative,47.0,229965.0,0.1821,0.0419,0.83,1.0,100,0.13,High,2032
HLT-059,Healthcare,124.0,254153.0,0.1516,0.0385,1.06,0.95,100,0.38,High,2032
CRE-079,Creative,64.0,289048.0,0.4071,0.1177,0.69,0.63,61,0.35,Low,2026
REL-068,Real Estate,69.0,88486.0,0.3439,0.0304,1.09,1.0,100,0.22,High,2032
LEG-027,Legal,159.0,333242.0,0.2606,0.0868,0.96,0.82,100,0.34,Med,2029
MFG-077,Manufacturing,23.0,32224.0,0.0717,0.0023,0.99,0.87,100,0.16,Value ,2029
ENR-048,Energy,95.0,184329.0,0.2212,0.0408,0.84,0.74,100,0.37,High,2031
LOG-031,Logistics,52.0,92714.0,0.7028,0.0652,0.9,0.71,100,0.24,Med,2029
RET-009,Retail,34.0,70174.0,0.0625,0.0044,0.97,0.9,100,0.25,High,2030
INS-072,Insurance,85.0,142579.0,0.2691,0.0384,0.99,0.98,100,0.01,High,2029
MFG-024,Manufacturing,40.0,90906.0,0.0307,0.0028,1.17,0.59,100,0.41,Low,2029
CON-038,Consulting,84.0,194744.0,0.0703,0.0137,1.36,0.58,100,0.34,Low,2029
MFG-031,Manufacturing,37.0,53756.0,0.2641,0.0142,1.01,0.5,100,0.48,Low,2027
TEL-019,Telecom,43.0,111205.0,0.2644,0.0294,0.82,0.94,100,0.17,Med,2030
EDU-059,Education,44.0,109224.0,0.1118,0.0122,0.86,0.81,100,0.21,Med,2029
GOV-048,Government,114.0,251251.0,0.2404,0.0604,1.07,0.44,100,0.53,High,2029
CRE-026,Creative,82.0,367610.0,0.742,0.2728,0.73,0.77,25,0.32,Low,2028
MLO-060,MLOps,114.0,192918.0,0.2124,0.041,1.03,0.82,100,0.41,High,2029
FIN-025,Finance,112.0,228622.0,0.2057,0.047,0.93,0.81,100,0.28,Med,2030
LOG-060,Logistics,44.0,88170.0,0.0968,0.0085,1.11,0.71,100,0.39,Med,2029
RET-043,Retail,39.0,63267.0,0.0418,0.0026,0.68,0.42,100,0.34,Low,2028
RET-052,Retail,42.0,96088.0,0.1888,0.0181,0.8,0.56,100,0.44,Low,2027
unknown ,Retail,37.0,77849.0,0.1853,0.0144,0.84,0.51,100,0.32,Low,2028
LOG-021,Logistics,31.0,38896.0,0.6118,0.0238,0.96,0.58,100,0.2,Low,2028
CON-031,Consulting,148.0,305444.0,0.3134,0.0957,0.64,0.95,100,0.34,High,2031
FIN-053,Finance,115.0,236950.0,0.3579,0.0848,0.61,0.52,100,0.48,Low,2027
MLO-061,MLOps,103.0,150137.0,0.1073,0.0161,1.01,0.39,100,0.54,Low,2026
GOV-032,Government,62.0,159741.0,0.3111,0.0497,0.93,0.77,100,0.38,Med,2029
RET-057,Retail,53.0,98404.0,0.0306,0.003,1.09,0.6,100,0.4,Med,2029
HLT-045,Healthcare,108.0,241731.0,0.5019,0.1213,0.9,0.82,100,0.25,High,2030
REL-005,Real Estate,101.0,197199.0,0.2309,0.0455,0.88,0.32,100,0.51,Low,2028
MFG-017,Manufacturing,44.0,60276.0,0.0681,0.0041,0.77,0.83,100,0.29,Med,2030
MFG-035,Manufacturing,28.0,53640.0,0.2167,0.0116,0.8,0.89,100,0.12,High,2031
MFG-036,Manufacturing,27.0,50116.0,0.0442,0.0022,0.97,0.6,100,0.14,Low,2028
LOG-044,Logistics,55.0,99605.0,0.0514,0.0051,0.84,0.65,100,0.39,Med,2028
CON-075,Consulting,54.0,89732.0,0.501,0.045,0.74,0.93,100,0.08,High,2032
REL-035,Real Estate,63.0,100679.0,0.1959,0.0197,0.77,0.96,100,0.14,Med,2030
GOV-076,Government,54.0,127795.0,0.1644,0.021,1.11,0.98,100,0.21,High,2030
INS-023,Insurance,86.0,194251.0,0.0954,0.0185,0.7,1.0,100,0.21,High,2032
GOV-008,Government,69.0,172792.0,0.5074,0.0877,0.83,0.78,99,0.39,Med,2029
HLT-036,Healthcare,131.0,312492.0,0.1961,0.0613,0.92,0.58,100,0.45,Med,2029
MFG-041,Manufacturing,28.0,39401.0,0.0721,0.0028,0.97,0.95,100,0.17,High,2029
EDU-036,Education,40.0,95407.0,0.1529,0.0146,0.99,0.65,100,0.28,Med,2029
GOV-053,Government,52.0,117905.0,0.054,0.0064,1.14,0.89,100,0.11,High,2031
LOG-067,Logistics,51.0,78844.0,0.3487,0.0275,0.9,0.58,100,0.38,Low,2028
ENR-056,Energy,109.0,205128.0,0.7812,0.1602,1.04,0.55,94,0.25,Low,2027
LEG-045,Legal,170.0,354813.0,0.1112,0.0395,0.96,0.78,100,0.46,High,2032
CON-058,Consulting,128.0,334531.0,0.543,0.1817,0.77,0.64,93,0.41,Low,2027
FIN-056,Finance,127.0,302076.0,0.2033,0.0614,0.58,0.74,100,0.55,Med,2029
EDU-034,Education,39.0,95813.0,0.1846,0.0177,0.66,0.79,100,0.22,Med,2027
GOV-042,Government,68.0,152984.0,0.1458,0.0223,0.79,0.88,100,0.37,High,2031
CRE-003,Creative,95.0,413789.0,0.7499,0.3103,0.77,0.61,41,0.46,Low,2027
RET-051,Retail,56.0,108627.0,0.0321,0.0035,1.06,0.52,100,0.57,Med,2027
RET-078,Retail,33.0,55828.0,0.0489,0.0027,0.98,0.86,100,0.11,High,2032
EDU-078,Education,44.0,102722.0,0.1827,0.0188,0.78,0.9,100,0.28,High,2030
ENR-054,Energy,67.0,115448.0,0.7442,0.0859,0.36,0.5,93,0.25,Low,2028
REL-073,Real Estate,59.0,110839.0,0.0974,0.0108,1.1,1.0,100,0.2,High,2031
MLO-057,MLOps,116.0,217232.0,0.5703,0.1239,0.89,0.53,100,0.47,Low,2028
EDU-054,Education,42.0,113303.0,0.1313,0.0149,0.92,0.58,100,0.22,Low,2028
RET-070,Retail,32.0,58043.0,0.7996,0.0464,0.77,0.69,76,0.34,Low,2029
MLO-020,MLOps,104.0,127300.0,0.2187,0.0278,1.06,0.45,100,0.41,Low,2027
MLO-072,MLOps,99.0,118201.0,0.0818,0.0097,1.21,0.49,100,0.27,Low,2027
INS-071,Insurance,96.0,187144.0,0.2029,0.038,0.87,0.5,100,0.44,Low,2029
MFG-028,123abc,51.0,127349.0,0.0326,0.0042,1.13,0.5,100,0.48,Low,2026
LOG-016,123abc,59.0,98450.0,0.3431,0.0338,1.29,0.54,100,0.39,Low,2028
MLO-033,MLOps,178.0,278893.0,0.2767,0.0772,0.86,0.67,100,0.54,High,2032
INS-011,Insurance,107.0,257257.0,0.2656,0.0683,0.94,1.0,100,0.44,High,2032
HLT-060,Healthcare,151.0,237855.0,0.2715,0.0646,0.98,1.0,100,0.24,High,2032
CRE-008,Creative,105.0,533937.0,0.0607,0.0324,1.02,0.73,100,0.43,Med,2029
CON-005,Consulting,70.0,131008.0,0.4639,0.0608,1.23,0.69,100,0.22,Med,2027
MFG-073,Manufacturing,57.0,116514.0,0.1315,0.0153,1.03,0.55,100,0.46,Low,2028
ENR-026,Energy,104.0,229894.0,0.2267,0.0521,0.82,0.89,100,0.34,High,2029
TEL-004,Telecom,46.0,97087.0,0.2801,0.0272,1.03,0.62,100,0.25,Low,2028
REL-011,Real Estate,67.0,127040.0,0.1261,0.016,0.95,0.85,100,0.24,High,2030
CON-020,Consulting,104.0,215906.0,0.6471,0.1397,1.05,0.5,99,0.38,Low,2026
LEG-024,Legal,171.0,311090.0,0.3833,0.1192,0.73,0.85,100,0.35,Value ,2030
FIN-019,Finance,101.0,216756.0,0.7772,0.1685,0.78,0.64,71,0.37,Med,2028
REL-079,Real Estate,106.0,169232.0,0.2789,0.0472,1.09,0.79,100,0.35,High,2031
RET-055,Retail,30.0,44861.0,0.3322,0.0149,1.1,0.73,100,0.23,Low,2027
GOV-071,Government,61.0,149152.0,0.2953,0.044,0.95,0.81,100,0.26,High,2032
INS-076,Insurance,87.0,162457.0,0.0793,0.0129,1.08,0.67,100,0.42,Med,2027
CRE-032,Creative,111.0,534047.0,0.2872,0.1534,0.9,0.34,100,0.62,Low,2027
EDU-018,Education,56.0,171188.0,0.2493,0.0427,0.91,0.63,100,0.37,Low,2027
GOV-029,Government,63.0,143153.0,0.3182,0.0456,0.84,1.0,100,0.41,High,2032
,,,,0.2927,0.0534,0.67,0.78,100,0.33,Med,2028
LEG-047,Legal,57.0,106229.0,0.4118,0.0437,0.97,0.95,100,0.1,High,2030
EDU-063,Education,49.0,93922.0,0.0677,0.0064,0.82,0.76,100,0.3,Med,2028
LOG-052,Logistics,44.0,75441.0,0.2286,0.0172,0.83,0.99,100,0.08,High,2031
EDU-009,Education,54.0,158986.0,0.0691,0.011,0.81,0.8,100,0.25,Value ,2029
LEG-066,Legal,60.0,115951.0,0.4177,0.0484,0.66,1.0,100,0.1,High,2030
,,,,0.2934,0.052,0.56,0.9,100,0.09,High,2031
GOV-022,Government,76.0,141920.0,0.1912,0.0271,0.92,0.73,100,0.33,Med,2028
,,,,0.1683,0.008,0.83,0.81,100,0.11,Low,2028
GOV-018,Government,31.0,48815.0,0.7512,0.0367,0.76,0.94,94,0.11,High,2029
MFG-010,Manufacturing,23.0,29352.0,0.0812,0.0024,0.84,0.81,100,0.25,Med,2028
MLO-077,MLOps,127.0,177829.0,0.1455,0.0259,1.06,0.53,100,0.3,Low,2029
HLT-007,Healthcare,46.0,141295.0,0.7708,0.1089,1.02,0.81,49,0.27,Low,2026
MFG-030,Manufacturing,42.0,73446.0,0.033,0.0024,0.76,0.79,100,0.23,Med,2028
CON-072,Consulting,134.0,246218.0,0.2222,0.0547,0.7,0.53,100,0.44,Low,2028
MFG-070,Manufacturing,34.0,67368.0,0.1617,0.0109,0.92,0.76,100,0.14,Med,2030
ENR-068,Energy,69.0,94855.0,0.3604,0.0342,0.92,1.0,100,0.08,High,2031
LEG-008,Legal,155.0,286572.0,0.2032,0.0582,0.84,0.61,100,0.67,Med,2029
CRE-014,Creative,80.0,373749.0,0.3357,0.1255,0.92,0.65,85,0.44,Med,2027
FIN-018,Finance,158.0,367892.0,0.2212,0.0814,0.82,0.53,100,0.58,Low,2027
MFG-074,Manufacturing,39.0,70532.0,0.2699,0.019,1.07,0.7,100,0.22,Low,2028
INS-025,Insurance,71.0,157761.0,0.2807,0.0443,0.92,0.95,100,0.33,High,2032
FIN-055,Finance,111.0,211441.0,0.5099,0.1078,0.57,0.51,100,0.4,Low,2027
REL-016,Real Estate,100.0,173904.0,0.4334,0.0754,1.13,0.63,100,0.51,Med,2027
REL-072,Real Estate,82.0,159119.0,0.1646,0.0262,0.86,0.73,100,0.43,Med,2028
LOG-019,Logistics,58.0,97725.0,0.0642,0.0063,1.13,0.7,100,0.19,Med,2028
MLO-012,MLOps,115.0,136012.0,0.0629,0.0086,0.87,0.74,100,0.27,Med,2030
FIN-069,Finance,177.0,310592.0,0.504,0.1565,0.5,0.74,100,0.36,High,2030
,,,,0.0705,0.0135,1.13,0.68,100,0.36,Med,2030
LOG-004,Logistics,37.0,54567.0,0.0375,0.002,1.03,0.72,100,0.29,Value ,2028
TEL-068,Telecom,80.0,164485.0,0.0952,0.0157,1.17,0.69,100,0.34,Med,2028
INS-030,Insurance,82.0,144825.0,0.1457,0.0211,0.87,0.6,100,0.29,Value ,2026
FIN-007,Finance,117.0,165572.0,0.1096,0.0181,0.83,0.46,100,0.3,Low,2026
unknown ,Energy,98.0,272528.0,0.7862,0.2143,0.89,0.52,64,0.56,Low,2028
EDU-006,Education,26.0,51323.0,-999.0,-999.0,1.0,0.86,100,0.11,Med,2029
GOV-026,Government,54.0,143194.0,0.0615,0.0088,1.05,0.96,100,0.32,High,2032
RET-030,Retail,26.0,35649.0,0.1093,0.0039,1.15,0.84,100,0.27,Low,2027
TEL-050,Telecom,76.0,150179.0,0.1044,0.0157,0.92,0.5,100,0.31,Med,2029
TEL-006,Telecom,50.0,102725.0,0.2104,0.0216,0.9,0.99,100,0.12,High,2029
CON-040,Consulting,181.0,365608.0,0.3966,0.145,0.74,0.44,100,0.45,Low,2028
FIN-033,Finance,93.0,159426.0,0.0887,0.0141,1.0,0.84,100,0.18,High,2029
INS-021,Insurance,104.0,243425.0,0.6462,0.1573,1.04,0.54,88,0.5,Med,2028
HLT-054,Healthcare,61.0,161281.0,0.5344,0.0862,0.64,0.92,84,0.11,High,2030
CRE-006,Creative,95.0,468769.0,0.556,0.2606,0.73,0.55,36,0.45,Low,2028
GOV-055,Government,57.0,142248.0,0.1667,0.0237,0.9,0.9,100,0.27,High,2031
FIN-048,Finance,95.0,118218.0,0.6177,0.073,0.83,0.8,100,0.24,High,2030
CON-001,Consulting,152.0,329689.0,0.1637,0.054,0.85,0.69,100,0.46,Med,2028
ENR-041,Energy,96.0,189079.0,0.7478,0.1414,0.79,0.76,85,0.48,Med,2030
RET-044,Retail,26.0,37011.0,0.059,0.0022,0.9,0.68,100,0.15,Low,2026
MLO-042,MLOps,117.0,192366.0,0.7515,0.1446,0.93,0.51,100,0.4,Low,2027
LOG-066,Logistics,64.0,109288.0,0.0773,0.0084,1.19,0.84,100,0.25,High,2031
GOV-027,Government,56.0,146254.0,0.2803,0.041,1.02,0.68,100,0.29,Med,2028
GOV-010,Government,39.0,68889.0,0.178,0.0123,0.83,1.0,100,0.12,High,2032
INS-075,Insurance,42.0,63188.0,0.0658,0.0042,1.06,1.0,100,0.06,High,2031
UNKNOWN,Insurance,108.0,193175.0,0.7384,0.1426,1.09,1.0,78,0.41,High,2033
RET-062,Retail,24.0,37957.0,0.0892,0.0034,0.88,0.63,100,0.31,Low,2028
INS-028,Insurance,75.0,170298.0,0.6113,0.1041,0.81,0.77,87,0.24,Med,2030
GOV-038,Government,99.0,266192.0,0.108,0.0287,0.82,0.56,100,0.45,Med,2029
INS-064,Insurance,107.0,205307.0,0.7653,0.1571,1.01,0.42,100,0.55,Low,2026
ENR-027,Energy,50.0,85530.0,0.2617,0.0224,0.87,1.0,100,0.22,High,2032
REL-034,Real Estate,64.0,102941.0,0.2005,0.0206,0.62,0.47,100,0.41,Low,2028
GOV-017,Government,63.0,158567.0,0.3145,0.0499,0.72,1.0,100,0.33,High,2032
LOG-070,Logistics,26.0,34718.0,0.0537,0.0019,1.07,0.72,100,0.24,Med,2029
FIN-026,Finance,86.0,138959.0,0.3248,0.0451,0.95,0.96,100,0.15,High,2030
UNKNOWN,Telecom,51.0,91816.0,0.6117,0.0562,0.78,0.69,100,0.22,Med,2029
HLT-048,Healthcare,150.0,323447.0,0.502,0.1624,0.99,0.7,100,0.34,High,2031
EDU-079,Education,60.0,118564.0,0.2181,0.0259,1.19,1.0,100,0.21,High,2030
CRE-027,Creative,52.0,197623.0,0.3082,0.0609,0.78,0.81,100,0.21,Low,2028
TEL-074,Telecom,59.0,121392.0,0.2798,0.034,0.76,0.92,100,0.09,Med,2030
GOV-020,Government,58.0,137710.0,0.259,0.0357,0.98,1.0,100,0.26,High,2033
GOV-064,Government,58.0,139010.0,0.1013,0.0141,0.78,0.81,100,0.17,High,2031
LEG-018,Legal,82.0,195125.0,0.227,0.0443,0.99,1.0,100,0.18,High,2030
GOV-034,Government,54.0,130812.0,0.2694,0.0352,0.53,0.78,100,0.22,Med,2028
LOG-051,Logistics,71.0,200004.0,0.2772,0.0554,0.95,0.74,100,0.46,Med,2029
CRE-074,Creative,54.0,294789.0,0.5144,0.1516,0.59,0.72,32,0.33,Med,2030
unknown ,Government,73.0,128925.0,0.189,0.0244,0.87,0.91,100,0.13,High,2030
CRE-044,Creative,86.0,359868.0,0.7746,0.2788,0.95,0.79,21,0.31,High,2029
RET-023,Retail,57.0,109661.0,0.6586,0.0722,0.93,0.67,97,0.43,High,2030
CRE-049,Creative,44.0,174018.0,0.288,0.0501,0.79,0.61,100,0.18,Med,2028
EDU-016,Education,34.0,84683.0,0.068,0.0058,1.28,0.94,100,0.1,High,2031
LEG-063,Legal,117.0,221489.0,0.6269,0.1389,0.65,0.83,97,0.26,Med,2028
LOG-061,Logistics,41.0,49384.0,0.731,0.0361,0.88,0.7,100,0.18,Med,2027
TEL-031,Telecom,43.0,78708.0,0.1065,0.0084,0.79,0.5,100,0.25,Low,2027
EDU-065,Education,43.0,83548.0,0.2846,0.0238,0.72,0.69,100,0.31,Med,2029
RET-038,Retail,30.0,49143.0,0.2146,0.0105,0.96,0.41,100,0.42,Low,2026
RET-005,Retail,27.0,42547.0,0.1379,0.0059,0.85,0.73,100,0.27,Value ,2027
TEL-076,Telecom,104.0,225111.0,0.0335,0.0075,1.23,0.68,100,0.41,High,2030
ENR-032,Energy,79.0,157137.0,0.4797,0.0754,1.02,0.54,100,0.27,Low,2028
ENR-001,Energy,117.0,296462.0,0.1648,0.0489,1.0,0.54,100,0.48,Low,2027
REL-058,Real Estate,57.0,83841.0,0.1643,0.0138,0.98,0.97,100,0.15,Med,2029
CRE-050,Creative,122.0,560319.0,0.6677,0.3741,0.81,0.9,23,0.43,High,2030
MLO-044,MLOps,76.0,107521.0,0.4468,0.048,1.01,0.56,100,0.22,Low,2028
LEG-002,Legal,156.0,280382.0,0.261,0.0732,0.74,0.56,100,0.41,Med,2030
CON-074,Consulting,126.0,132015.0,0.1226,0.0162,0.81,0.96,100,0.04,High,2032
LEG-021,Legal,143.0,312220.0,0.3807,0.1189,0.91,0.46,100,0.54,Low,2027
MFG-014,Manufacturing,26.0,41594.0,0.2515,0.0105,1.08,0.67,100,0.01,Med,2030
RET-007,Retail,28.0,51591.0,0.1264,0.0065,1.08,1.0,100,0.19,High,2032
MLO-045,MLOps,135.0,175617.0,0.2781,0.0488,0.81,0.41,100,0.33,Low,2026
INS-061,Insurance,64.0,136741.0,0.2181,0.0298,1.09,1.0,100,0.21,High,2031
RET-077,Retail,25.0,43680.0,0.053,0.0023,1.02,0.63,100,0.32,Low,2027
GOV-062,Government,51.0,110504.0,-999.0,-999.0,0.95,0.84,100,0.19,High,2031
